13:44:42:454 [ALWAYS]	GUDE Logging Started
13:44:42:455 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:44:42:455 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:44:42:455 [ERROR]	Initialize resume cache pointer failure
13:44:42:456 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
13:44:42:459 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
13:44:45:608 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
13:44:45:609 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:44:45:609 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:44:45:609 [ERROR]	Initialize resume cache pointer failure
13:44:45:609 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
13:44:45:609 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
